agency_name,correct_agency_name
Louisiana State Police,Louisiana State Police Department
Ville Platte City Marshall,Ville Platte City Marshal
U.S. Marshals Service,US Marshal Service
East Jefferson Levee District Police Department,East Jefferson Levee Police Department
U.S. Federal Bureau of Investigation,Federal
LaSalle Parish Sheriff's Office,Lasalle Parish Sheriff's Office
DeRidder Police Department,De Ridder Police Department
Louisiana Department of Corrections,Louisiana Department Of Justice
Converse Police Department,Converse Police Department
Centenary College Department of Public Safety,Centenary University Police Department
Southern University of New Orleans Police Department,Southern University Police Department
Ruston Police Departmen,Ruston Police Department
Calcasieu Parish Sheriff's Office,Calcasieu Parish Sheriff's Office
Caddo Parish Sheriff's Office,Caddo Parish Sheriff's Office
Bossier City Police Department,Bossier City Police Department
Bossier Parish Sheriff's Office,Bossier Parish Sheriff's Office
Cottonport Police Department,Cottonport Police Department
Avoyelles Parish Sheriff's Office,Avoyelles Parish Sheriff's Office
Ouachita Parish Sheriff's Office,Ouachita Parish Sheriff's Office
Shreveport Police Department,Shreveport Police Department
Sulphur Police Department,Sulphur Police Department
Baton Rouge Police Department,Baton Rouge Police Department
St. Mary Parish Sheriff's Office,St. Mary Parish Sheriff's Office
Rayne Police Department,Rayne Police Department
Evangeline Parish Sheriff's Office,Evangeline Parish Sheriff's Office
Jefferson Parish Sheriff's Office,Jefferson Parish Sheriff's Office
Alexandria Police Department,Alexandria Police Department
Pineville Police Department,Pineville Police Department
Rapides Parish Sheriff's Office,Rapides Parish Sheriff's Office
Bastrop Police Department,Bastrop Police Department
Denham Springs Police Department,Denham Springs Police Department
Livingston Parish Sheriff's Office,Livingston Parish Sheriff's Office
Lafayette Police Department,Lafayette Police Department
Haughton Police Department,Haughton Police Department
St. Gabriel Police Department,St. Gabriel Police Department
Addis Police Department,Addis Police Department
West Baton Rouge Parish Sheriff's Office,West Baton Rouge Parish Sheriff's Office
Tangipahoa Parish Sheriff's Office,Tangipahoa Parish Sheriff's Office
Lake Charles Police Department,Lake Charles Police Department
Red River Parish Sheriff's Office,Red River Parish Sheriff's Office
Port Fourchon Harbor Police Department,Port Fourchon Harbor Police Department
Jackson Parish Sheriff's Office,Jackson Parish Sheriff's Office
St. John Parish Sheriff's Office,St. John Parish Sheriff's Office
Crowley Police Department,Crowley Police Department
New Orleans Police Department,New Orleans Police Department
East Baton Rouge Parish Sheriff's Office,East Baton Rouge Parish Sheriff's Office
Livonia Police Department,Livonia Police Department
Pointe Coupee Parish Sheriff's Office,Pointe Coupee Parish Sheriff's Office
Vernon Parish Sheriff's Office,Vernon Parish Sheriff's Office
Bogalusa Police Department,Bogalusa Police Department
Houma Police Department,Houma Police Department
Terrebonne Parish Sheriff's Office,Terrebonne Parish Sheriff's Office
Westwego Police Department,Westwego Police Department
Acadia Parish Sheriff's Office,Acadia Parish Sheriff's Office
Doyline Police Department,Doyline Police Department
Webster Parish Sheriff's Office,Webster Parish Sheriff's Office
Berwick Police Department,Berwick Police Department
East Feliciana Parish Sheriff's Office,East Feliciana Parish Sheriff's Office
De Soto Parish Sheriff's Office,De Soto Parish Sheriff's Office
Vermilion Parish Sheriff's Office,Vermilion Parish Sheriff's Office
Abbeville Police Department,Abbeville Police Department
Washington Parish Sheriff's Office,Washington Parish Sheriff's Office
Slidell Police Department,Slidell Police Department
St. Tammany Parish Sheriff's Office,St. Tammany Parish Sheriff's Office
Iota Police Department,Iota Police Department
St. Helena Parish Sheriff's Office,St. Helena Parish Sheriff's Office
Clinton Police Department,Clinton Police Department
Beauregard Parish Sheriff's Office,Beauregard Parish Sheriff's Office
Shreveport City Marshal,Shreveport City Marshal
Ball Police Department,Ball Police Department
Monroe Police Department,Monroe Police Department
Carencro Police Department,Carencro Police Department
Winn Parish Sheriff's Office,Winn Parish Sheriff's Office
West Monroe Police Department,West Monroe Police Department
Union Parish Sheriff's Office,Union Parish Sheriff's Office
Lincoln Parish Sheriff's Office,Lincoln Parish Sheriff's Office
St. Martin Parish Sheriff's Office,St. Martin Parish Sheriff's Office
Iberia Parish Sheriff's Office,Iberia Parish Sheriff's Office
Kenner Police Department,Kenner Police Department
Iberville Parish Sheriff's Office,Iberville Parish Sheriff's Office
Gretna Police Department,Gretna Police Department
Franklin Parish Sheriff's Office,Franklin Parish Sheriff's Office
St. Bernard Parish Sheriff's Office,St. Bernard Parish Sheriff's Office
Natchitoches Parish Sheriff's Office,Natchitoches Parish Sheriff's Office
Natchitoches Police Department,Natchitoches Police Department
Brusly Police Department,Brusly Police Department