agency_name,correct_agency_name,
Southern University And A & M College - Shreveport,Southern Shreveport University Police Department,
Grosse Tete Police Police Department,Grosse Tete Police Department,
Gueydan Police Police Department,Gueydan Police Department,
Southeastern Louisiana University Police,Southeastern University Police Department,
University Of Louisiana - Monroe Police,LSUHSC Monroe University Police Department,
Dillard University,Dillard University Police Department,
Evergreen Police Police Department,Evergreen Police Department,
Clinton Police Police Department,Clinton Police Department,
Grambling State University Police Police Department,Grambling University Police Department,
Tunica-Biloxi Tribal Police Department,Tunica Biloxi Police Department,
Port Vincent Police Police Department,Port Vincent Police Department,
Deridder Police Department,De Ridder Police Department,
Ida Police Department,Ida Police Department,
Wilson Police Police Department,Wilson Police Department,
Simmesport Police Police Department,Simmesport Police Department,
Louisiana Tech University Police,Louisiana Tech University Police Department,
Tensas Basin Levee District Police,Tensas Basin Levee District,
Southern Univ Police Department New Orleans,Southern New Orleans University Police Department,
Mcneese State University Police,McNeese University Police Department,
La Salle Parish Sheriff's Office,Lasalle Parish Sheriff's Office,
Tallulah Police Police Department,Tallulah Police Department,
Norwood Police Police Department,Norwood Police Department,
Louisiana State University - Shreveport Police,LSU Shreveport University Police Department,
Haynesville Police Police Department,Haynesville Police Department,
Bossier City Police Police Department,Bossier City Police Department,
Delgado Community College Police,Delgado Community College University Police Department,
Rosedale Police Police Department,Robeline Police Department,
"Department of Public Safety, Baton Rouge",Department Of Public Safety,
St. John The Baptist Parish Sheriff's Office,St. John Parish Sheriff's Office,
Port Barre Police Police Department,Port Barre Police Department,
Tulane University,Tulane University Police Department,
Dubach Police Police Department,Dubach Police Department,
Lsu Health Sciences Center Police Department,LSUHSC University Police Department,
University Of New Orleans Police Police Department,LSUHSC New Orleans University Police Department,
Livingston Police Police Department,Livingston Police Department,
Fisher Police Police Department,Fisher Police Department,
Winnfield Police Police Department,Winnfield Police Department,
Louisiana State University Health Sciences Center,LSUHSC University Police Department,
Southern University And A & M College Police,Southern University Police Department,
University Of Louisiana At Lafayette Police,LSU Lafayette University Police Department,
La State Univ Police Department Eunice,LSU Eunice University Police Department,
Nicholls State University Police,Nicholls University Police Department,
Northwestern State University Of Louisiana Police,Northwestern University Police Department,
Louisiana State University Police Department,LSU University Police Department,
Hodge Police Police Department,Hodge Police Department,
Clarence Police Department,Carencro Police Department,
Montpelier Police Department,Montgomery Police Department,
Louisiana State Police,Louisiana State Police Department,
Police Department Pub Sfty St Cap Dtl,Capital Police Department,
Cheneyville Police Police Department,Cheneyville Police Department,
Collinston Police Police Department,Collinston Police Department,
Gibsland Police Police Department,Gibsland Police Department,
Loreauville Police Department,Loreauville Police Department,
Bienville Police Department,Bienville Police Department,
Oak Ridge Police Police Department,Oak Grove Police Department,
Bonita Police Police Department,Bonita Police Department,
Donaldsonville Police Department,Donaldsonville Police Department,
Tri Parish Narcotics Task Force Crowley,Tri Parish Narcotics Task Force Crowley,
Jefferson Parish Sheriff's Office,Jefferson Parish Sheriff's Office,
Caldwell Parish Sheriff's Office,Caldwell Parish Sheriff's Office,
Baker Police Department,Baker Police Department,
Bunkie Police Department,Bunkie Police Department,
Washington Police Department,Washington Police Department,
West Feliciana Parish Sheriff's Office,West Feliciana Parish Sheriff's Office,
Lake Charles Police Department,Lake Charles Police Department,
Jefferson Davis Parish Sheriff's Office,Jefferson Davis Parish Sheriff's Office,
Gonzales Police Department,Gonzales Police Department,
Grambling Police Department,Grambling Police Department,
Madison Parish Sheriff's Office,Madison Parish Sheriff's Office,
Jena Police Department,Jena Police Department,
Vinton Police Department,Vinton Police Department,
Ouachita Parish Sheriff's Office,Ouachita Parish Sheriff's Office,
Haughton Police Department,Haughton Police Department,
Franklin Police Department,Franklin Police Department,
Port Allen Police Department,Port Allen Police Department,
Baldwin Police Department,Baldwin Police Department,
Opelousas Police Department,Opelousas Police Department,
Mamou Police Department,Mamou Police Department,
Georgetown Police Department,Georgetown Police Department,
St. Mary Parish Sheriff's Office,St. Mary Parish Sheriff's Office,
Avoyelles Parish Sheriff's Office,Avoyelles Parish Sheriff's Office,
Kenner Police Department,Kenner Police Department,
Evangeline Parish Sheriff's Office,Evangeline Parish Sheriff's Office,
Assumption Parish Sheriff's Office,Assumption Parish Sheriff's Office,
Vidalia Police Department,Vidalia Police Department,
Chitimacha Tribal Police Department,Chitimacha Tribal Police Department,
Vernon Parish Sheriff's Office,Vernon Parish Sheriff's Office,
Independence Police Department,Independence Police Department,
Pineville Police Department,Pineville Police Department,
St. Charles Parish Sheriff's Office,St. Charles Parish Sheriff's Office,
New Orleans Police Department,New Orleans Police Department,
Jennings Police Department,Jennings Police Department,
Ruston Police Department,Ruston Police Department,
Catahoula Parish Sheriff's Office,Catahoula Parish Sheriff's Office,
Alexandria Police Department,Alexandria Police Department,
Natchitoches Parish Sheriff's Office,Natchitoches Parish Sheriff's Office,
Greensburg Police Department,Greensburg Police Department,
Washington Parish Sheriff's Office,Washington Parish Sheriff's Office,
New Llano Police Department,New Llano Police Department,
Morehouse Parish Sheriff's Office,Morehouse Parish Sheriff's Office,
Cameron Parish Sheriff's Office,Cameron Parish Sheriff's Office,
Lafourche Parish Sheriff's Office,Lafourche Parish Sheriff's Office,
Broussard Police Department,Broussard Police Department,
Oakdale Police Department,Oakdale Police Department,
Palmetto Police Department,Palmetto Police Department,
Lafayette Parish Sheriff's Office,Lafayette Parish Sheriff's Office,
Sunset Police Department,Sunset Police Department,
St. Martin Parish Sheriff's Office,St. Martin Parish Sheriff's Office,
Acadia Parish Sheriff's Office,Acadia Parish Sheriff's Office,
Livingston Parish Sheriff's Office,Livingston Parish Sheriff's Office,
Allen Parish Sheriff's Office,Allen Parish Sheriff's Office,
St. Landry Parish Sheriff's Office,St. Landry Parish Sheriff's Office,
Franklin Parish Sheriff's Office,Franklin Parish Sheriff's Office,
Thibodaux Police Department,Thibodaux Police Department,
French Settlement Police Department,French Settlement Police Department,
Jeanerette Police Department,Jeanerette Police Department,
Benton Police Department,Benton Police Department,
Ringgold Police Department,Ringgold Police Department,
Kentwood Police Department,Kentwood Police Department,
Farmerville Police Department,Farmerville Police Department,
Rayne Police Department,Rayne Police Department,
Moreauville Police Department,Moreauville Police Department,
Merryville Police Department,Merryville Police Department,
Maringouin Police Department,Maringouin Police Department,
Concordia Parish Sheriff's Office,Concordia Parish Sheriff's Office,
Terrebonne Parish Sheriff's Office,Terrebonne Parish Sheriff's Office,
Beauregard Parish Sheriff's Office,Beauregard Parish Sheriff's Office,
Ville Platte Police Department,Ville Platte Police Department,
Westlake Police Department,Westlake Police Department,
Mansfield Police Department,Mansfield Police Department,
Denham Springs Police Department,Denham Springs Police Department,
Iberville Parish Sheriff's Office,Iberville Parish Sheriff's Office,
Mandeville Police Department,Mandeville Police Department,
Kaplan Police Department,Kaplan Police Department,
Brusly Police Department,Brusly Police Department,
Crowley Police Department,Crowley Police Department,
Breaux Bridge Police Department,Breaux Bridge Police Department,
Chataignier Police Department,Chataignier Police Department,
St. Helena Parish Sheriff's Office,St. Helena Parish Sheriff's Office,
Plain Dealing Police Department,Plain Dealing Police Department,
Addis Police Department,Addis Police Department,
Caddo Parish Sheriff's Office,Caddo Parish Sheriff's Office,
Jackson Parish Sheriff's Office,Jackson Parish Sheriff's Office,
Bienville Parish Sheriff's Office,Bienville Parish Sheriff's Office,
Houma Police Department,Houma Police Department,
Arnaudville Police Department,Arnaudville Police Department,
Duson Police Department,Duson Police Department,
St. Martinville Police Department,St. Martinville Police Department,
White Castle Police Department,White Castle Police Department,
Sulphur Police Department,Sulphur Police Department,
Rapides Parish Sheriff's Office,Rapides Parish Sheriff's Office,
Woodworth Police Department,Woodworth Police Department,
Lake Providence Police Department,Lake Providence Police Department,
Leesville Police Department,Leesville Police Department,
Oberlin Police Department,Oberlin Police Department,
Ferriday Police Department,Ferriday Police Department,
Abbeville Police Department,Abbeville Police Department,
Lincoln Parish Sheriff's Office,Lincoln Parish Sheriff's Office,
Scott Police Department,Scott Police Department,
Morgan City Police Department,Morgan City Police Department,
Roseland Police Department,Roseland Police Department,
Blanchard Police Department,Blanchard Police Department,
Bossier Parish Sheriff's Office,Bossier Parish Sheriff's Office,
Shreveport Police Department,Shreveport Police Department,
Coushatta Tribal Police Department,Coushatta Tribal Police Department,
Parks Police Department,Parks Police Department,
Pollock Police Department,Pollock Police Department,
Greenwood Police Department,Greenwood Police Department,
Basile Police Department,Basile Police Department,
Zachary Police Department,Zachary Police Department,
Church Point Police Department,Church Point Police Department,
Krotz Springs Police Department,Krotz Springs Police Department,
Iowa Police Department,Iowa Police Department,
Amite Police Department,Amite Police Department,
Oil City Police Department,Oil City Police Department,
New Iberia Police Department,New Iberia Police Department,
Lafayette Police Department,Lafayette Police Department,
Lake Arthur Police Department,Lake Arthur Police Department,
Patterson Police Department,Patterson Police Department,
East Baton Rouge Parish Sheriff's Office,East Baton Rouge Parish Sheriff's Office,
Westwego Police Department,Westwego Police Department,
Iberia Parish Sheriff's Office,Iberia Parish Sheriff's Office,
Erath Police Department,Erath Police Department,
Richland Parish Sheriff's Office,Richland Parish Sheriff's Office,
Dequincy Police Department,Dequincy Police Department,
Baton Rouge Police Department,Baton Rouge Police Department,
Harahan Police Department,Harahan Police Department,
Lutcher Police Department,Lutcher Police Department,
Cottonport Police Department,Cottonport Police Department,
St. Tammany Parish Sheriff's Office,St. Tammany Parish Sheriff's Office,
Delcambre Police Department,Delcambre Police Department,
West Carroll Parish Sheriff's Office,West Carroll Parish Sheriff's Office,
Ascension Parish Sheriff's Office,Ascension Parish Sheriff's Office,
Gretna Police Department,Gretna Police Department,
Marksville Police Department,Marksville Police Department,
Tickfaw Police Department,Tickfaw Police Department,
Vermilion Parish Sheriff's Office,Vermilion Parish Sheriff's Office,
Oak Grove Police Department,Oak Grove Police Department,
Bastrop Police Department,Bastrop Police Department,
Lockport Police Department,Lockport Police Department,
Carencro Police Department,Carencro Police Department,
Youngsville Police Department,Youngsville Police Department,
Plaquemine Police Department,Plaquemine Police Department,
Webster Parish Sheriff's Office,Webster Parish Sheriff's Office,
West Monroe Police Department,West Monroe Police Department,
Folsom Police Department,Folsom Police Department,
Epps Police Department,Epps Police Department,
Livonia Police Department,Livonia Police Department,
Montgomery Police Department,Montgomery Police Department,
East Carroll Parish Sheriff's Office,East Carroll Parish Sheriff's Office,
Heflin Police Department,Heflin Police Department,
Bernice Police Department,Bernice Police Department,
De Soto Parish Sheriff's Office,De Soto Parish Sheriff's Office,
Coushatta Police Department,Coushatta Police Department,
St. Gabriel Police Department,St. Gabriel Police Department,
Claiborne Parish Sheriff's Office,Claiborne Parish Sheriff's Office,
Welsh Police Department,Welsh Police Department,
Tangipahoa Parish Sheriff's Office,Tangipahoa Parish Sheriff's Office,
Tensas Parish Sheriff's Office,Tensas Parish Sheriff's Office,
St. James Parish Sheriff's Office,St. James Parish Sheriff's Office,
Golden Meadow Police Department,Golden Meadow Police Department,
Calcasieu Parish Sheriff's Office,Calcasieu Parish Sheriff's Office,
Gramercy Police Department,Gramercy Police Department,
Florien Police Department,Florien Police Department,
Grant Parish Sheriff's Office,Grant Parish Sheriff's Office,
Kinder Police Department,Kinder Police Department,
Dixie Inn Police Department,Dixie Inn Police Department,
Winn Parish Sheriff's Office,Winn Parish Sheriff's Office,
Richwood Police Department,Richwood Police Department,
Delhi Police Department,Delhi Police Department,
Plaquemines Parish Sheriff's Office,Plaquemines Parish Sheriff's Office,
Covington Police Department,Covington Police Department,
Springhill Police Department,Springhill Police Department,
Minden Police Department,Minden Police Department,
Marion Police Department,Marion Police Department,
Ponchatoula Police Department,Ponchatoula Police Department,
Sabine Parish Sheriff's Office,Sabine Parish Sheriff's Office,
Red River Parish Sheriff's Office,Red River Parish Sheriff's Office,
Lecompte Police Department,Lecompte Police Department,
Rayville Police Department,Rayville Police Department,
Pointe Coupee Parish Sheriff's Office,Pointe Coupee Parish Sheriff's Office,
East Feliciana Parish Sheriff's Office,East Feliciana Parish Sheriff's Office,
Natchitoches Police Department,Natchitoches Police Department,
Franklinton Police Department,Franklinton Police Department,
West Baton Rouge Parish Sheriff's Office,West Baton Rouge Parish Sheriff's Office,
Ball Police Department,Ball Police Department,
Sibley Police Department,Sibley Police Department,
Eunice Police Department,Eunice Police Department,
Monroe Police Department,Monroe Police Department,
Sterlington Police Department,Sterlington Police Department,
Berwick Police Department,Berwick Police Department,
Union Parish Sheriff's Office,Union Parish Sheriff's Office,
Cullen Police Department,Cullen Police Department,
Bogalusa Police Department,Bogalusa Police Department,
Olla Police Department,Olla Police Department,
Many Police Department,Many Police Department,
Hammond Police Department,Hammond Police Department,
Walker Police Department,Walker Police Department,
Slidell Police Department,Slidell Police Department,
St. Bernard Parish Sheriff's Office,St. Bernard Parish Sheriff's Office,
Killian Police Department,Killian Police Department,
Zwolle Police Department,Zwolle Police Department,
Pearl River Police Department,Pearl River Police Department,
St. Francisville Police Department,St. Francisville Police Department,
Jonesville Police Department,Jonesville Police Department,
Stonewall Police Department,Stonewall Police Department,
Sorrento Police Department,Sorrento Police Department,
Springfield Police Department,Springfield Police Department,
Elton Police Department,Elton Police Department,
Vivian Police Department,Vivian Police Department,
Sicily Island Police Department,Sicily Island Police Department,
New Roads Police Department,New Roads Police Department,
Glenmora Police Department,Glenmora Police Department,
Homer Police Department,Homer Police Department,
Jonesboro Police Department,Jonesboro Police Department,
Napoleonville Police Department,Napoleonville Police Department,
Wisner Police Department,Wisner Police Department,
Mcnary Police Department,Mcnary Police Department,
Jackson Police Department,Jackson Police Department,
Newellton Police Department,Newellton Police Department,
St. Joseph Police Department,St. Joseph Police Department,
Waterproof Police Department,Waterproof Police Department,
Abita Springs Police Department,Abita Springs Police Department,
Iota Police Department,Iota Police Department,
Arcadia Police Department,Arcadia Police Department,
Mangham Police Department,Mangham Police Department,
Grand Isle Police Department,Grand Isle Police Department,
Baskin Police Department,Baskin Police Department,
Harrisonburg Police Department,Harrisonburg Police Department,
Winnsboro Police Department,Winnsboro Police Department,
Clayton Police Department,Clayton Police Department,